Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1977","1977","g/capita/day","15.74","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1978","1978","g/capita/day","15.26","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1979","1979","g/capita/day","16.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1980","1980","g/capita/day","17.07","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1981","1981","g/capita/day","17.34","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1982","1982","g/capita/day","18.52","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1983","1983","g/capita/day","19.17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1984","1984","g/capita/day","19.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1985","1985","g/capita/day","18.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1986","1986","g/capita/day","18.66","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1987","1987","g/capita/day","18.75","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1988","1988","g/capita/day","19.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1989","1989","g/capita/day","19.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1990","1990","g/capita/day","19.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1991","1991","g/capita/day","18.85","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1992","1992","g/capita/day","19.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1993","1993","g/capita/day","19.09","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1994","1994","g/capita/day","19.55","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1995","1995","g/capita/day","19.47","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1996","1996","g/capita/day","19.94","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1997","1997","g/capita/day","19.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1998","1998","g/capita/day","16.99","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","1999","1999","g/capita/day","17.43","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2000","2000","g/capita/day","17.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","10","Australia","684","Fat supply quantity (g/capita/day)","2948","Milk - Excluding Butter","2001","2001","g/capita/day","17.9","Fc","Calculated data"
